pret,descriere_zona,an_constructie,compartimentare,confort,etaj,nr_balcoane,nr_bucatarii,nr_bai,nr_camere,nr_garaje,nr_locuri_parcare,regim_inaltime,str_rezistenta,supraf_constr,supraf_utila,supraf_utila_totala,tip_imobil,zona,lat,long
199000,"Bucuresti, zona Decebal",2018,decomandat,1,Etaj 5,1,1,2,3,,,P+6E,beton,140.91,114.2,,bloc de apartamente,"Decebal, Bucuresti, Romania",44.428959000000006,26.13356
233869,"Bucuresti, zona Decebal",2018,decomandat,lux,Etaj 3,1,1,2,4,,,P+6E,beton,168.16,137.57,,bloc de apartamente,"Decebal, Bucuresti, Romania",44.428959000000006,26.13356
160400,"Bucuresti, Sector 2, zona Decebal",2020,decomandat,lux,Etaj 1,2 (1 închise),2,2,4,,,S+P+6E,beton,116,98,98,bloc de apartamente,"Decebal, Bucuresti, Romania",44.428959000000006,26.13356
167000,"Bucuresti, zona Decebal",2018,decomandat,1,Etaj 2,1,1,2,3,,,P+6E,beton,114.25,95.61,,bloc de apartamente,"Decebal, Bucuresti, Romania",44.428959000000006,26.13356
130000,"Bucuresti, zona Decebal   610 m (8 minute)",2009,semidecomandat,lux,Etaj 6,,,1,3,,,D+P+8E,,80,67,,bloc de apartamente,"Decebal, Bucuresti, Romania",44.428959000000006,26.13356
149000,"Bucuresti, Sector 3, zona Decebal   90 m (1 minut)",1990,decomandat,1,Etaj 3,2 (închise),1,1,3,,1,P+9E,beton,88,77,88,bloc de apartamente,"Decebal, Bucuresti, Romania",44.428959000000006,26.13356
49137,"Bucuresti, Sector 2, zona Decebal",2021,semidecomandat,1,Etaj 4,1,1,1,1,,,S+P+5E,beton,42.73,30.52,,bloc de apartamente,"Decebal, Bucuresti, Romania",44.428959000000006,26.13356
138000,"Bucuresti, Sector 3, zona Decebal",1987,decomandat,1,Etaj 2,2,1,2,3,,,P+4E,beton,95,87,87,bloc de apartamente,"Decebal, Bucuresti, Romania",44.428959000000006,26.13356
125000,"Bucuresti, Sector 3, zona Decebal   640 m (8 minute)",1995,decomandat,1,Etaj 4,2 (închise),1,1,2,,,P+7E,beton,75,68,70,bloc de apartamente,"Decebal, Bucuresti, Romania",44.428959000000006,26.13356
95500,"Bucuresti, Sector 3, zona Decebal   580 m (7 minute)",2019,decomandat,lux,Etaj 4,1,1,1,2,,,P+7E,beton,65,59,59,bloc de apartamente,"Decebal, Bucuresti, Romania",44.428959000000006,26.13356
148900,"Bucuresti, zona Decebal   540 m (7 minute)",1995,decomandat,1,Etaj 6,1,1,1,3,,,P+8E,beton,95,80,,bloc de apartamente,"Decebal, Bucuresti, Romania",44.428959000000006,26.13356
97000,"Bucuresti, Sector 3, zona Decebal   640 m (8 minute)",2019,decomandat,1,Etaj 2,1,1,1,2,,,S+P+9E,beton,72,60,60,bloc de apartamente,"Decebal, Bucuresti, Romania",44.428959000000006,26.13356
97000,"Bucuresti, Sector 3, zona Decebal",2019,decomandat,lux,Parter,1 (închise),1,1,2,,,P+5E,beton,60,57,,bloc de apartamente,"Decebal, Bucuresti, Romania",44.428959000000006,26.13356
149900,"Bucuresti, Sector 3, zona Decebal   780 m (10 minute)",2008,decomandat,1,Etaj 2,1,1,2,3,1,1,P+7E,beton,85,72,80,bloc de apartamente,"Decebal, Bucuresti, Romania",44.428959000000006,26.13356
